"title","url","date","topics"
"Notre Dame Burns As the World Watches","https://www.allsides.com/story/notre-dame-burns-world-watches","2019-04-15","Culture"
"A Tax Day Look At Trump's Tax Cuts","https://www.allsides.com/story/tax-day-look-trumps-tax-cuts","2019-04-15","Taxes"
"Congressman Sets April 23 Deadline for IRS To Turn Over Trump's Tax Returns","https://www.allsides.com/story/congressman-sets-april-23-deadline-irs-turn-over-trumps-tax-returns","2019-04-13","Politics"
"Herman Cain's Chances Of A Federal Reserve Appointment Diminish","https://www.allsides.com/story/herman-cains-chances-federal-reserve-appointment-diminish","2019-04-12","US Senate"
"Wikileaks Founder Julian Assange Arrested In London","https://www.allsides.com/story/wikileaks-founder-julian-assange-arrested-london","2019-04-11","Cybersecurity"
"Sanders Unveils Medicare for All Plan","https://www.allsides.com/story/sanders-unveils-medicare-all-plan","2019-04-10","Healthcare"
"Trump Will Not Release Tax Returns, Citing An IRS Audit","https://www.allsides.com/story/trump-will-not-release-tax-returns-citing-irs-audit","2019-04-10","White House"
"Trump Denies Reports That He Will Reinstate Family Separations, Blames Obama for Policy","https://www.allsides.com/story/trump-denies-family-separation-reports-blames-obama-policy","2019-04-09","Immigration"
"Congressman Eric Swalwell Of California Is Running For President","https://www.allsides.com/story/congressman-eric-swalwell-california-running-president","2019-04-09","Election: Presidential"
"Secret Service Director To Leave Post In May","https://www.allsides.com/story/secret-service-director-leave-post-may","2019-04-09","White House"
"Federal Judge Blocks Trump Admin Policy Requiring Asylum Seekers to Wait in Mexico","https://www.allsides.com/story/federal-judge-blocks-trump-admin-policy-requiring-asylum-seekers-wait-mexico","2019-04-08","Immigration"
"Homeland Security Secretary Kirstjen Nielsen Resigns","https://www.allsides.com/story/homeland-security-secretary-kirstjen-nielsen-resigns","2019-04-08","Homeland Security"
"Trump Visits Southern Border Deploying More Agents For Border Control","https://www.allsides.com/story/trump-visits-southern-border-deploying-more-agents","2019-04-07","Immigration"
